Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0002,0.694592,0.715072,7433.00
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0002,0.694592,0.715072,6141.07
2,0.0002,0.597986,0.677372,6141.07
3,0.0002,0.568140,0.653496,6141.07
4,0.0002,0.523920,0.627243,6141.07
5,0.0002,0.502308,0.614705,6141.07
6,0.0002,0.494810,0.608346,6141.07
7,0.0002,0.489925,0.602537,6141.07
8,0.0002,0.520537,0.761512,6141.07
9,0.0002,0.507682,0.602766,6141.07
10,0.0002,0.484842,0.598435,6141.07
11,0.0002,0.474487,0.594926,6141.07
12,0.0002,0.470108,0.591035,6141.07
13,0.0002,0.465605,0.588463,6141.07
14,0.0002,0.464279,0.587721,6141.07
15,0.0002,0.461361,0.584740,6141.07
16,0.0002,0.457158,0.581176,6141.07
17,0.0002,0.454754,0.576853,6141.07
18,0.00019,0.452800,0.571907,6141.07
19,0.00019,0.448990,0.566626,6141.07
20,0.00019,0.446796,0.562755,6141.07
21,0.00019,0.444245,0.559729,6141.07
22,0.00019,0.446219,0.566504,6141.07
23,0.00019,0.660699,0.631107,6141.07
24,0.00019,0.518009,0.631849,6141.07
25,0.00019,0.479678,0.597862,6141.07
26,0.00019,0.458405,0.586834,6141.07
27,0.00019,0.454402,0.581976,6141.07
28,0.00019,0.448293,0.574511,6141.07
29,0.00019,0.449489,0.575415,6141.07
30,0.00019,0.442438,0.564278,6141.07
31,0.00019,0.442251,0.562981,6141.07
