Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.00015,0.687835,2.698188,9546.28
2,0.00015,0.521605,2.441981,9546.28
3,0.00015,0.492855,2.428522,9546.28
4,0.00015,0.474738,2.372161,9546.28
5,0.00015,0.457906,2.345303,9546.28
6,0.00015,0.446389,2.400934,9546.28
7,0.00015,0.439062,2.451071,9546.28
8,0.00015,0.433555,2.421709,9546.28
9,0.00015,0.429234,2.421602,9546.28
10,0.00015,0.426258,2.376471,9546.28
11,0.00015,0.423759,2.314226,9546.28
12,0.00015,0.421753,2.286745,9546.28
13,0.00015,0.419841,2.371445,9546.28
14,0.00015,0.418314,2.478755,9546.28
15,0.00015,0.416934,2.454076,9546.28
16,0.00015,0.415641,2.359374,9546.28
17,0.00015,0.414591,2.340832,9546.28
18,0.0001425,0.413513,2.329994,9546.28
19,0.0001425,0.412439,2.329352,9546.28
20,0.0001425,0.411653,2.327999,9546.28
21,0.0001425,0.410805,2.336993,9546.28
22,0.0001425,0.409988,2.334527,9546.28
