Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0003,0.410085,0.397667,7296.80
2,0.0003,0.310734,0.369114,7296.80
3,0.0003,0.298044,0.352097,7296.80
4,0.0003,0.294070,0.355313,7296.80
5,0.0003,0.290980,0.350911,7296.80
6,0.0003,0.284748,0.335683,7296.80
7,0.0003,0.280921,0.325467,7296.80
8,0.0003,0.277894,0.324412,7296.80
9,0.0003,0.275391,0.314853,7296.80
10,0.0003,0.273177,0.310262,7296.80
11,0.0003,0.271357,0.310698,7296.80
12,0.0003,0.270056,0.310978,7296.80
13,0.0003,0.268691,0.321687,7296.80
14,0.0003,0.267991,0.315603,7296.80
15,0.0003,0.267110,0.319373,7296.80
16,0.0003,0.266312,0.331411,7296.80
17,0.0003,0.266193,0.321009,7296.80
18,0.000285,0.265124,0.333246,7296.80
19,0.000285,0.264014,0.312175,7296.80
20,0.000285,0.263373,0.315978,7296.80
