Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0002,0.346719,0.303357,2337.87
2,0.0002,0.281169,0.289168,2337.87
3,0.0002,0.270411,0.283910,2337.87
4,0.0002,0.265208,0.276697,2337.87
5,0.0002,0.261138,0.280714,2337.87
6,0.0002,0.258568,0.274824,2337.87
7,0.0002,0.257244,0.278271,2337.87
8,0.0002,0.255676,0.283698,2337.87
9,0.0002,0.253725,0.280652,2337.87
10,0.0002,0.253132,0.271706,2337.87
11,0.0002,0.252131,0.269709,2337.87
12,0.0002,0.251012,0.271071,2337.87
13,0.0002,0.250200,0.267865,2337.87
14,0.0002,0.249611,0.267440,2337.87
15,0.0002,0.248662,0.267453,2337.87
16,0.0002,0.248033,0.266947,2337.87
17,0.0002,0.247887,0.267873,2337.87
18,0.00019,0.247058,0.268539,2337.87
19,0.00019,0.246191,0.268364,2337.87
20,0.00019,0.245932,0.268851,2337.87
21,0.00019,0.245331,0.271146,2337.87
22,0.00019,0.245128,0.268565,2337.87
23,0.00019,0.244740,0.268580,2337.87
24,0.00019,0.244632,0.270170,2337.87
25,0.00019,0.243865,0.268029,2337.87
26,0.00019,0.243831,0.271157,2337.87
