Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.336799,1.430877,2543.59
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.336799,1.430877,2522.33
2,6e-05,1.299144,1.358609,2522.33
3,6e-05,1.159686,1.154611,2522.33
4,6e-05,0.966896,0.967766,2522.33
5,6e-05,0.816169,0.824981,2522.33
6,6e-05,0.697516,0.710923,2522.33
7,6e-05,0.626241,0.653957,2522.33
8,6e-05,0.592593,0.623142,2522.33
9,6e-05,0.572337,0.602758,2522.33
10,6e-05,0.558438,0.587665,2522.33
11,6e-05,0.548993,0.578276,2522.33
12,6e-05,0.542346,0.573152,2522.33
13,6e-05,0.537027,0.567259,2522.33
14,6e-05,0.532696,0.560965,2522.33
15,6e-05,0.529228,0.558585,2522.33
16,6e-05,0.526208,0.555042,2522.33
17,6e-05,0.523410,0.551684,2522.33
18,5.6999999999999996e-05,0.520988,0.549081,2522.33
19,5.6999999999999996e-05,0.518841,0.546605,2522.33
20,5.6999999999999996e-05,0.516860,0.543644,2522.33
21,5.6999999999999996e-05,0.515125,0.542623,2522.33
22,5.6999999999999996e-05,0.513515,0.540631,2522.33
23,5.6999999999999996e-05,0.512010,0.539138,2522.33
24,5.6999999999999996e-05,0.510553,0.537422,2522.33
25,5.6999999999999996e-05,0.509416,0.536208,2522.33
26,5.6999999999999996e-05,0.508158,0.534828,2522.33
27,5.6999999999999996e-05,0.506994,0.533684,2522.33
28,5.6999999999999996e-05,0.505979,0.532754,2522.33
29,5.6999999999999996e-05,0.504843,0.531519,2522.33
30,5.6999999999999996e-05,0.503943,0.530175,2522.33
31,5.6999999999999996e-05,0.503117,0.529831,2522.33
32,5.6999999999999996e-05,0.502420,0.528995,2522.33
33,5.6999999999999996e-05,0.501655,0.528378,2522.33
34,5.6999999999999996e-05,0.500804,0.527178,2522.33
35,5.6999999999999996e-05,0.500060,0.526565,2522.33
36,5.4149999999999995e-05,0.499407,0.525973,2522.33
37,5.4149999999999995e-05,0.498821,0.525796,2522.33
38,5.4149999999999995e-05,0.498323,0.525046,2522.33
39,5.4149999999999995e-05,0.497746,0.524593,2522.33
40,5.4149999999999995e-05,0.497250,0.524443,2522.33
41,5.4149999999999995e-05,0.496810,0.523992,2522.33
42,5.4149999999999995e-05,0.496354,0.523671,2522.33
43,5.4149999999999995e-05,0.495984,0.523327,2522.33
44,5.4149999999999995e-05,0.495512,0.522725,2522.33
45,5.4149999999999995e-05,0.495098,0.522702,2522.33
46,5.4149999999999995e-05,0.494793,0.522275,2522.33
47,5.4149999999999995e-05,0.494319,0.522001,2522.33
48,5.4149999999999995e-05,0.494035,0.521811,2522.33
49,5.4149999999999995e-05,0.493698,0.521614,2522.33
50,5.4149999999999995e-05,0.493324,0.521292,2522.33
51,5.4149999999999995e-05,0.493033,0.520912,2522.33
52,5.4149999999999995e-05,0.492815,0.520719,2522.33
53,5.4149999999999995e-05,0.492439,0.520410,2522.33
54,5.1442499999999994e-05,0.492149,0.520224,2522.33
55,5.1442499999999994e-05,0.491868,0.519988,2522.33
56,5.1442499999999994e-05,0.491606,0.519790,2522.33
57,5.1442499999999994e-05,0.491349,0.519665,2522.33
58,5.1442499999999994e-05,0.491104,0.519555,2522.33
59,5.1442499999999994e-05,0.490861,0.519297,2522.33
60,5.1442499999999994e-05,0.490596,0.519009,2522.33
61,5.1442499999999994e-05,0.490385,0.518867,2522.33
62,5.1442499999999994e-05,0.490167,0.518694,2522.33
63,5.1442499999999994e-05,0.489885,0.518503,2522.33
64,5.1442499999999994e-05,0.489707,0.518390,2522.33
65,5.1442499999999994e-05,0.489483,0.518285,2522.33
66,5.1442499999999994e-05,0.489265,0.518171,2522.33
67,5.1442499999999994e-05,0.489050,0.517911,2522.33
68,5.1442499999999994e-05,0.488959,0.517766,2522.33
69,5.1442499999999994e-05,0.488715,0.517545,2522.33
70,5.1442499999999994e-05,0.488502,0.517445,2522.33
71,5.1442499999999994e-05,0.488263,0.517385,2522.33
72,4.887037499999999e-05,0.488146,0.517166,2522.33
73,4.887037499999999e-05,0.487977,0.517025,2522.33
74,4.887037499999999e-05,0.487735,0.516897,2522.33
75,4.887037499999999e-05,0.487507,0.516815,2522.33
76,4.887037499999999e-05,0.487366,0.516597,2522.33
77,4.887037499999999e-05,0.487269,0.516526,2522.33
78,4.887037499999999e-05,0.487045,0.516444,2522.33
79,4.887037499999999e-05,0.486873,0.516270,2522.33
80,4.887037499999999e-05,0.486704,0.516106,2522.33
81,4.887037499999999e-05,0.486549,0.515961,2522.33
82,4.887037499999999e-05,0.486457,0.515917,2522.33
83,4.887037499999999e-05,0.486249,0.515826,2522.33
84,4.887037499999999e-05,0.486091,0.515709,2522.33
85,4.887037499999999e-05,0.485957,0.515502,2522.33
86,4.887037499999999e-05,0.485777,0.515427,2522.33
87,4.887037499999999e-05,0.485640,0.515380,2522.33
88,4.887037499999999e-05,0.485493,0.515274,2522.33
89,4.887037499999999e-05,0.485382,0.515135,2522.33
90,4.6426856249999986e-05,0.485257,0.514986,2522.33
91,4.6426856249999986e-05,0.485108,0.514878,2522.33
92,4.6426856249999986e-05,0.484969,0.514774,2522.33
93,4.6426856249999986e-05,0.484826,0.514675,2522.33
94,4.6426856249999986e-05,0.484734,0.514564,2522.33
95,4.6426856249999986e-05,0.484568,0.514506,2522.33
96,4.6426856249999986e-05,0.484508,0.514395,2522.33
97,4.6426856249999986e-05,0.484362,0.514332,2522.33
98,4.6426856249999986e-05,0.484177,0.514165,2522.33
99,4.6426856249999986e-05,0.484066,0.514021,2522.33
100,4.6426856249999986e-05,0.483975,0.513909,2522.33
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.070964,0.999839,1582.50
2,6e-05,1.070539,0.999410,1582.50
3,6e-05,1.070231,0.998978,1582.50
4,6e-05,1.069762,0.998563,1582.50
5,6e-05,1.069503,0.998153,1582.50
6,6e-05,1.068788,0.997762,1582.50
7,6e-05,1.068413,0.997358,1582.50
8,6e-05,1.068253,0.996969,1582.50
9,6e-05,1.067735,0.996600,1582.50
10,6e-05,1.067357,0.996236,1582.50
11,6e-05,1.067004,0.995865,1582.50
12,6e-05,1.066585,0.995503,1582.50
13,6e-05,1.066246,0.995161,1582.50
14,6e-05,1.065890,0.994830,1582.50
15,6e-05,1.065548,0.994485,1582.50
16,6e-05,1.065211,0.994153,1582.50
17,6e-05,1.065022,0.993837,1582.50
18,5.6999999999999996e-05,1.064730,0.993532,1582.50
19,5.6999999999999996e-05,1.064409,0.993242,1582.50
20,5.6999999999999996e-05,1.064079,0.992963,1582.50
21,5.6999999999999996e-05,1.063873,0.992678,1582.50
22,5.6999999999999996e-05,1.063474,0.992417,1582.50
23,5.6999999999999996e-05,1.063359,0.992157,1582.50
24,5.6999999999999996e-05,1.063078,0.991912,1582.50
25,5.6999999999999996e-05,1.062779,0.991666,1582.50
26,5.6999999999999996e-05,1.062415,0.991426,1582.50
27,5.6999999999999996e-05,1.062347,0.991201,1582.50
28,5.6999999999999996e-05,1.062047,0.990983,1582.50
29,5.6999999999999996e-05,1.061916,0.990761,1582.50
30,5.6999999999999996e-05,1.061514,0.990546,1582.50
31,5.6999999999999996e-05,1.061215,0.990346,1582.50
32,5.6999999999999996e-05,1.061206,0.990142,1582.50
33,5.6999999999999996e-05,1.060885,0.989947,1582.50
34,5.6999999999999996e-05,1.060685,0.989757,1582.50
35,5.6999999999999996e-05,1.060458,0.989573,1582.50
36,5.4149999999999995e-05,1.060226,0.989383,1582.50
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.070964,0.999839,1582.50
2,6e-05,1.070539,0.999410,1582.50
3,6e-05,1.070231,0.998978,1582.50
4,6e-05,1.069762,0.998563,1582.50
5,6e-05,1.069503,0.998153,1582.50
6,6e-05,1.068788,0.997762,1582.50
7,6e-05,1.068413,0.997358,1582.50
8,6e-05,1.068253,0.996969,1582.50
9,6e-05,1.067735,0.996600,1582.50
10,6e-05,1.067357,0.996236,1582.50
11,6e-05,1.067004,0.995865,1582.50
12,6e-05,1.066585,0.995503,1582.50
13,6e-05,1.066246,0.995161,1582.50
14,6e-05,1.065890,0.994830,1582.50
15,6e-05,1.065548,0.994485,1582.50
16,6e-05,1.065211,0.994153,1582.50
17,6e-05,1.065022,0.993837,1582.50
18,5.6999999999999996e-05,1.064730,0.993532,1582.50
19,5.6999999999999996e-05,1.064409,0.993242,1582.50
20,5.6999999999999996e-05,1.064079,0.992963,1582.50
21,5.6999999999999996e-05,1.063873,0.992678,1582.50
22,5.6999999999999996e-05,1.063474,0.992417,1582.50
23,5.6999999999999996e-05,1.063359,0.992157,1582.50
24,5.6999999999999996e-05,1.063078,0.991912,1582.50
25,5.6999999999999996e-05,1.062779,0.991666,1582.50
26,5.6999999999999996e-05,1.062415,0.991426,1582.50
27,5.6999999999999996e-05,1.062347,0.991201,1582.50
28,5.6999999999999996e-05,1.062047,0.990983,1582.50
29,5.6999999999999996e-05,1.061916,0.990761,1582.50
30,5.6999999999999996e-05,1.061514,0.990546,1582.50
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.070964,0.999839,1582.50
2,6e-05,1.070539,0.999410,1582.50
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.052563,0.983753,1755.37
2,6e-05,1.052293,0.983571,1755.37
3,6e-05,1.052301,0.983419,1755.37
4,6e-05,1.052177,0.983255,1755.37
5,6e-05,1.051955,0.983112,1755.37
6,6e-05,1.051749,0.982951,1755.37
7,6e-05,1.051639,0.982814,1755.37
8,6e-05,1.051461,0.982668,1755.37
9,6e-05,1.051242,0.982530,1755.37
10,6e-05,1.051214,0.982388,1755.37
11,6e-05,1.051011,0.982261,1755.37
12,6e-05,1.050882,0.982130,1755.37
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,6e-05,1.052563,0.983753,1590.47
2,6e-05,1.052293,0.983571,1590.47
3,6e-05,1.052301,0.983419,1590.47
4,6e-05,1.052177,0.983255,1590.47
5,6e-05,1.051955,0.983112,1590.47
6,6e-05,1.051749,0.982951,1590.47
