Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0001,0.634781,0.457773,9832.98
2,0.0001,0.398356,0.370497,9832.98
3,0.0001,0.356688,0.337168,9832.98
4,0.0001,0.337419,0.323734,9832.98
5,0.0001,0.326524,0.318066,9832.98
6,0.0001,0.318784,0.319100,9832.98
7,0.0001,0.312575,0.319672,9832.98
8,0.0001,0.307792,0.319170,9832.98
9,0.0001,0.304033,0.311620,9832.98
10,0.0001,0.301028,0.307209,9832.98
11,0.0001,0.298566,0.305496,9832.98
12,0.0001,0.296512,0.303750,9832.98
13,0.0001,0.294984,0.301673,9832.98
14,0.0001,0.293643,0.300926,9832.98
15,0.0001,0.292551,0.300114,9832.98
16,0.0001,0.291549,0.298099,9832.98
17,0.0001,0.290589,0.298984,9832.98
18,9.5e-05,0.289717,0.297717,9832.98
19,9.5e-05,0.288947,0.298022,9832.98
20,9.5e-05,0.288188,0.297247,9832.98
21,9.5e-05,0.287535,0.295933,9832.98
22,9.5e-05,0.286919,0.297024,9832.98
23,9.5e-05,0.286455,0.297060,9832.98
24,9.5e-05,0.285947,0.296577,9832.98
25,9.5e-05,0.285453,0.295968,9832.98
26,9.5e-05,0.285049,0.295869,9832.98
27,9.5e-05,0.284619,0.296253,9832.98
