Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,7.264997587938268e-06,0.909437,0.886456,459.19
2,7.264997587938268e-06,0.795411,0.754386,459.19
3,7.264997587938268e-06,0.622998,0.540710,459.19
4,7.264997587938268e-06,0.508010,0.486498,459.19
5,7.264997587938268e-06,0.472410,0.462432,459.19
6,7.264997587938268e-06,0.454673,0.448217,459.19
7,7.264997587938268e-06,0.443946,0.439134,459.19
8,7.264997587938268e-06,0.436616,0.432536,459.19
9,7.264997587938268e-06,0.431160,0.427556,459.19
10,7.264997587938268e-06,0.427086,0.423613,459.19
11,7.264997587938268e-06,0.423784,0.420572,459.19
12,7.264997587938268e-06,0.421101,0.417980,459.19
13,7.264997587938268e-06,0.418704,0.415912,459.19
14,7.264997587938268e-06,0.416610,0.414095,459.19
15,7.264997587938268e-06,0.414738,0.412570,459.19
16,7.264997587938268e-06,0.413176,0.411108,459.19
17,7.264997587938268e-06,0.411739,0.410156,459.19
18,6.331644338407945e-06,0.410457,0.409067,459.19
19,6.331644338407945e-06,0.409455,0.408560,459.19
20,6.331644338407945e-06,0.408465,0.407833,459.19
21,6.331644338407945e-06,0.407634,0.407068,459.19
22,6.331644338407945e-06,0.406781,0.406422,459.19
23,6.331644338407945e-06,0.406127,0.405939,459.19
24,6.331644338407945e-06,0.405406,0.405233,459.19
25,6.331644338407945e-06,0.404785,0.404731,459.19
26,6.331644338407945e-06,0.404214,0.404128,459.19
27,6.331644338407945e-06,0.403631,0.403743,459.19
28,6.331644338407945e-06,0.403027,0.403376,459.19
29,6.331644338407945e-06,0.402517,0.402850,459.19
30,6.331644338407945e-06,0.401990,0.402465,459.19
31,6.331644338407945e-06,0.401491,0.402116,459.19
32,6.331644338407945e-06,0.401052,0.401683,459.19
33,6.331644338407945e-06,0.400587,0.401371,459.19
34,6.331644338407945e-06,0.400108,0.401067,459.19
35,6.331644338407945e-06,0.399681,0.400675,459.19
36,5.5182014230331534e-06,0.399253,0.400299,459.19
37,5.5182014230331534e-06,0.398925,0.400415,459.19
38,5.5182014230331534e-06,0.398535,0.400106,459.19
39,5.5182014230331534e-06,0.398114,0.399957,459.19
40,5.5182014230331534e-06,0.397777,0.399580,459.19
41,5.5182014230331534e-06,0.397484,0.399435,459.19
42,5.5182014230331534e-06,0.397141,0.399165,459.19
43,5.5182014230331534e-06,0.396795,0.398949,459.19
44,5.5182014230331534e-06,0.396489,0.398666,459.19
45,5.5182014230331534e-06,0.396160,0.398569,459.19
46,5.5182014230331534e-06,0.395852,0.398327,459.19
47,5.5182014230331534e-06,0.395552,0.398165,459.19
48,5.5182014230331534e-06,0.395271,0.397964,459.19
49,5.5182014230331534e-06,0.394987,0.397801,459.19
50,5.5182014230331534e-06,0.394669,0.397554,459.19
51,5.5182014230331534e-06,0.394413,0.397447,459.19
52,5.5182014230331534e-06,0.394164,0.397312,459.19
53,5.5182014230331534e-06,0.393858,0.397174,459.19
54,4.8092636474306025e-06,0.393624,0.397100,459.19
55,4.8092636474306025e-06,0.393492,0.397241,459.19
56,4.8092636474306025e-06,0.393220,0.397120,459.19
57,4.8092636474306025e-06,0.392967,0.397114,459.19
58,4.8092636474306025e-06,0.392806,0.396957,459.19
59,4.8092636474306025e-06,0.392582,0.396853,459.19
60,4.8092636474306025e-06,0.392356,0.396735,459.19
61,4.8092636474306025e-06,0.392180,0.396728,459.19
62,4.8092636474306025e-06,0.391956,0.396649,459.19
63,4.8092636474306025e-06,0.391778,0.396473,459.19
64,4.8092636474306025e-06,0.391577,0.396422,459.19
65,4.8092636474306025e-06,0.391435,0.396342,459.19
66,4.8092636474306025e-06,0.391244,0.396170,459.19
67,4.8092636474306025e-06,0.391037,0.396193,459.19
68,4.8092636474306025e-06,0.390873,0.396107,459.19
69,4.8092636474306025e-06,0.390704,0.396075,459.19
70,4.8092636474306025e-06,0.390565,0.395975,459.19
71,4.8092636474306025e-06,0.390366,0.395850,459.19
72,4.191404962848263e-06,0.390194,0.395790,459.19
73,4.191404962848263e-06,0.390133,0.396096,459.19
74,4.191404962848263e-06,0.389957,0.395996,459.19
75,4.191404962848263e-06,0.389794,0.395988,459.19
76,4.191404962848263e-06,0.389705,0.395974,459.19
77,4.191404962848263e-06,0.389558,0.395890,459.19
78,4.191404962848263e-06,0.389449,0.395721,459.19
79,4.191404962848263e-06,0.389308,0.395595,459.19
80,4.191404962848263e-06,0.389177,0.395768,459.19
81,4.191404962848263e-06,0.389050,0.395525,459.19
82,4.191404962848263e-06,0.388909,0.395523,459.19
83,4.191404962848263e-06,0.388797,0.395508,459.19
84,4.191404962848263e-06,0.388649,0.395453,459.19
85,4.191404962848263e-06,0.388546,0.395346,459.19
86,4.191404962848263e-06,0.388433,0.395306,459.19
87,4.191404962848263e-06,0.388329,0.395234,459.19
88,4.191404962848263e-06,0.388214,0.395157,459.19
89,4.191404962848263e-06,0.388095,0.395216,459.19
90,3.6529242001475344e-06,0.387966,0.395085,459.19
91,3.6529242001475344e-06,0.387967,0.395291,459.19
92,3.6529242001475344e-06,0.387826,0.395347,459.19
93,3.6529242001475344e-06,0.387711,0.395376,459.19
94,3.6529242001475344e-06,0.387633,0.395281,459.19
95,3.6529242001475344e-06,0.387507,0.395113,459.19
96,3.6529242001475344e-06,0.387397,0.395130,459.19
97,3.6529242001475344e-06,0.387307,0.395132,459.19
98,3.6529242001475344e-06,0.387209,0.395133,459.19
99,3.6529242001475344e-06,0.387108,0.395084,459.19
100,3.6529242001475344e-06,0.387033,0.394951,459.19
