Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,4.4123125102380614e-05,0.906392,0.819230,8111.49
2,4.4123125102380614e-05,0.686946,0.521159,8111.49
3,4.4123125102380614e-05,0.513119,0.467330,8111.49
4,4.4123125102380614e-05,0.477818,0.451823,8111.49
5,4.4123125102380614e-05,0.460518,0.440065,8111.49
6,4.4123125102380614e-05,0.448286,0.431333,8111.49
7,4.4123125102380614e-05,0.439344,0.425726,8111.49
8,4.4123125102380614e-05,0.432817,0.421421,8111.49
9,4.4123125102380614e-05,0.427717,0.418525,8111.49
10,4.4123125102380614e-05,0.423827,0.416042,8111.49
11,4.4123125102380614e-05,0.420660,0.413704,8111.49
12,4.4123125102380614e-05,0.418022,0.411901,8111.49
13,4.4123125102380614e-05,0.415735,0.410119,8111.49
14,4.4123125102380614e-05,0.413678,0.408678,8111.49
15,4.4123125102380614e-05,0.411886,0.407426,8111.49
16,4.4123125102380614e-05,0.410258,0.406223,8111.49
17,4.4123125102380614e-05,0.408661,0.404997,8111.49
18,3.9031207072090634e-05,0.407311,0.404087,8111.49
19,3.9031207072090634e-05,0.405804,0.403248,8111.49
20,3.9031207072090634e-05,0.404813,0.402513,8111.49
21,3.9031207072090634e-05,0.403779,0.401749,8111.49
22,3.9031207072090634e-05,0.402888,0.401204,8111.49
23,3.9031207072090634e-05,0.401993,0.400676,8111.49
24,3.9031207072090634e-05,0.401139,0.399968,8111.49
25,3.9031207072090634e-05,0.400348,0.399621,8111.49
26,3.9031207072090634e-05,0.399586,0.399170,8111.49
27,3.9031207072090634e-05,0.398845,0.398837,8111.49
28,3.9031207072090634e-05,0.398166,0.398334,8111.49
29,3.9031207072090634e-05,0.397545,0.397997,8111.49
30,3.9031207072090634e-05,0.396927,0.397860,8111.49
31,3.9031207072090634e-05,0.396260,0.397586,8111.49
32,3.9031207072090634e-05,0.395677,0.397511,8111.49
33,3.9031207072090634e-05,0.395188,0.397069,8111.49
34,3.9031207072090634e-05,0.394639,0.397094,8111.49
35,3.9031207072090634e-05,0.394156,0.396926,8111.49
36,3.4526909006774374e-05,0.393608,0.396730,8111.49
37,3.4526909006774374e-05,0.393069,0.396599,8111.49
38,3.4526909006774374e-05,0.392658,0.396655,8111.49
39,3.4526909006774374e-05,0.392226,0.396448,8111.49
40,3.4526909006774374e-05,0.391890,0.396425,8111.49
41,3.4526909006774374e-05,0.391499,0.396218,8111.49
42,3.4526909006774374e-05,0.391226,0.396146,8111.49
43,3.4526909006774374e-05,0.390814,0.396064,8111.49
44,3.4526909006774374e-05,0.390413,0.396035,8111.49
45,3.4526909006774374e-05,0.390147,0.395823,8111.49
46,3.4526909006774374e-05,0.389826,0.395806,8111.49
47,3.4526909006774374e-05,0.389516,0.395784,8111.49
48,3.4526909006774374e-05,0.389237,0.395753,8111.49
49,3.4526909006774374e-05,0.388957,0.395591,8111.49
50,3.4526909006774374e-05,0.388650,0.395581,8111.49
51,3.4526909006774374e-05,0.388409,0.395535,8111.49
52,3.4526909006774374e-05,0.388084,0.395436,8111.49
53,3.4526909006774374e-05,0.387856,0.395636,8111.49
54,3.054241810560086e-05,0.387584,0.395253,8111.49
55,3.054241810560086e-05,0.387286,0.395651,8111.49
56,3.054241810560086e-05,0.387076,0.395672,8111.49
57,3.054241810560086e-05,0.386856,0.395369,8111.49
58,3.054241810560086e-05,0.386666,0.395369,8111.49
59,3.054241810560086e-05,0.386467,0.395544,8111.49
60,3.054241810560086e-05,0.386236,0.395336,8111.49
61,3.054241810560086e-05,0.386039,0.395142,8111.49
62,3.054241810560086e-05,0.385850,0.395076,8111.49
63,3.054241810560086e-05,0.385661,0.395057,8111.49
64,3.054241810560086e-05,0.385472,0.395180,8111.49
65,3.054241810560086e-05,0.385329,0.395155,8111.49
66,3.054241810560086e-05,0.385131,0.395169,8111.49
67,3.054241810560086e-05,0.384979,0.394793,8111.49
68,3.054241810560086e-05,0.384832,0.395106,8111.49
69,3.054241810560086e-05,0.384653,0.395195,8111.49
70,3.054241810560086e-05,0.384472,0.395238,8111.49
71,3.054241810560086e-05,0.384306,0.395065,8111.49
72,2.7017747333081774e-05,0.384175,0.394853,8111.49
73,2.7017747333081774e-05,0.383980,0.395323,8111.49
74,2.7017747333081774e-05,0.383873,0.395050,8111.49
75,2.7017747333081774e-05,0.383713,0.394862,8111.49
76,2.7017747333081774e-05,0.383555,0.394805,8111.49
77,2.7017747333081774e-05,0.383479,0.394838,8111.49
