Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0005500530762294727,0.214017,0.179374,15199.60
2,0.0005500530762294727,0.180243,0.175103,15199.85
3,0.0005500530762294727,0.175336,0.173030,15199.85
4,0.0005500530762294727,0.172858,0.171853,15199.85
5,0.0005500530762294727,0.170819,0.172278,15199.85
6,0.0005500530762294727,0.168947,0.170724,15199.85
7,0.0005500530762294727,0.167721,0.170184,15199.85
8,0.0005500530762294727,0.166841,0.169584,15200.37
9,0.0005500530762294727,0.166318,0.169344,15200.37
10,0.0005500530762294727,0.165514,0.169478,15200.37
11,0.0005500530762294727,0.164663,0.168848,15200.37
12,0.0005500530762294727,0.164465,0.168142,15200.37
13,0.0005500530762294727,0.164192,0.167910,15200.37
14,0.0005500530762294727,0.163527,0.167780,15200.37
15,0.0005500530762294727,0.163438,0.168402,15200.37
16,0.0005500530762294727,0.163088,0.167526,15200.37
17,0.0005500530762294727,0.162955,0.168074,15200.37
18,0.00048043541923850326,0.162649,0.167902,15200.37
19,0.00048043541923850326,0.161372,0.168480,15200.37
20,0.00048043541923850326,0.161150,0.168387,15200.37
21,0.00048043541923850326,0.161033,0.168815,15200.37
22,0.00048043541923850326,0.160923,0.168729,15200.37
23,0.00048043541923850326,0.160711,0.169270,15200.37
24,0.00048043541923850326,0.160705,0.168746,15200.37
25,0.00048043541923850326,0.160745,0.168796,15200.37
26,0.00048043541923850326,0.160645,0.171315,15200.37
27,0.00048043541923850326,0.160578,0.170936,15200.37
28,0.00048043541923850326,0.160575,0.170644,15200.37
29,0.00048043541923850326,0.160134,0.170835,15200.37
30,0.00048043541923850326,0.160393,0.170954,15200.37
31,0.00048043541923850326,0.160148,0.172592,15200.37
32,0.00048043541923850326,0.160010,0.170502,15200.37
33,0.00048043541923850326,0.159849,0.170983,15200.37
34,0.00048043541923850326,0.159996,0.173743,15200.37
35,0.00048043541923850326,0.160136,0.174206,15200.37
36,0.0004196289449758172,0.159998,0.174069,15200.37
37,0.0004196289449758172,0.158946,0.175140,15200.37
38,0.0004196289449758172,0.159087,0.174393,15200.37
39,0.0004196289449758172,0.159026,0.174029,15200.54
40,0.0004196289449758172,0.159095,0.171817,15200.54
41,0.0004196289449758172,0.158685,0.171323,15200.54
42,0.0004196289449758172,0.159229,0.178749,15200.54
43,0.0004196289449758172,0.158867,0.173919,15200.54
44,0.0004196289449758172,0.158773,0.174429,15200.54
45,0.0004196289449758172,0.158756,0.172084,15200.54
46,0.0004196289449758172,0.158949,0.174733,15200.54
47,0.0004196289449758172,0.158958,0.172866,15200.54
