S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82
76.67415,55.85651,32.64929,49.117508,21.036856,53.545364,76.566666,78.32463,67.91554,35.922226,27.716137,45.64244,60.298965,79.97424,67.12635,33.110477,40.064384,58.89295,67.10861,67.18852,76.711395,74.40578,34.751675,44.053123,37.68433,61.191288,62.40814,77.68014,72.027725,55.21528,38.17818,40.213722,40.5787,62.560413,76.15109,73.7893,46.54707,58.110455,29.946981,56.903713,61.881657,74.6625,57.191624,61.987194,42.586407,25.32819,43.47544,59.52615,76.20592,71.73801,51.669567,38.5569,23.763481,21.647432,51.71138,73.15287,76.37147,64.63003,46.204517,25.00573,61.345146,62.441086,78.4145,50.58529,50.166965,65.38725,38.04643,64.77499,67.96109,77.57612,71.117195,57.41338,40.67664,33.405045,66.3666,63.10145,64.95225,63.924614,60.030197,60.819824,43.517773,49.661385,62.523693
42.650284,42.06869,36.979675,37.77937,39.380997,39.291615,42.386803,42.86857,43.549004,41.10556,40.673004,40.890076,41.328773,46.216526,46.3006,39.847763,40.621574,40.215317,32.98169,39.69083,44.319103,42.917824,42.32053,40.39059,39.279224,25.266338,39.579956,45.150932,44.842907,40.48428,40.513546,39.233852,18.442604,39.964836,43.625053,46.87669,40.371227,40.21721,41.041363,21.35084,41.75242,46.067497,43.621754,41.755707,41.374157,36.484802,20.418789,38.511013,44.19782,46.553005,42.500656,37.707302,39.553967,39.615803,41.43348,43.365047,43.76271,42.756275,40.237015,38.805573,39.681953,42.39682,46.138016,45.789062,41.498,39.360058,38.959763,38.19673,40.87679,43.90438,43.134674,41.2782,39.29528,40.360928,36.598145,41.06179,43.099323,42.759937,41.762787,40.275864,38.503643,36.13476,41.579586
33.373356,21.452274,14.942982,15.415128,14.3352165,25.662819,34.314934,28.091112,24.420355,17.389349,17.70053,17.572634,20.702534,25.869673,34.417095,17.653795,17.936064,18.195515,12.766022,28.594513,32.969166,33.440456,16.4669,11.2573,15.744958,13.915075,24.769592,29.35622,30.010105,14.964056,12.551138,14.0428295,14.467715,26.088137,31.32004,29.249327,17.376411,11.53554,10.932324,12.2119465,23.5849,26.027807,28.013845,16.792046,10.543425,8.4800205,14.751412,25.993841,29.296494,30.570187,20.51024,12.543088,14.179782,19.74328,24.273117,33.761726,32.770237,20.381737,20.171925,17.594645,18.49597,29.30907,33.848186,32.221962,15.458197,18.887768,16.007685,19.937115,28.457462,29.785746,30.080938,13.166604,20.286257,13.284578,14.751168,22.450672,25.873388,24.153458,19.695839,18.678095,17.22722,19.610987,23.84188
31.242985,29.03309,20.034296,24.898554,28.090668,28.81752,20.582237,18.260315,27.297043,24.370783,22.262733,29.839844,23.903734,37.69671,35.746513,30.3103,24.537167,23.137499,27.97669,29.298424,30.505634,30.638819,29.3538,29.553907,23.631525,25.681744,27.976545,29.395617,28.650469,29.168993,24.091557,29.015995,25.311712,31.711166,31.725727,31.775663,26.146599,29.207516,28.961815,24.712557,30.325903,29.76469,29.802713,25.543953,28.88436,25.260345,25.878359,30.067368,30.434837,30.24909,29.897326,27.166428,29.02559,23.83912,31.029224,36.090363,31.42413,38.417824,23.055979,26.527054,28.543638,31.420383,30.616846,32.13534,19.771215,29.819542,25.21174,28.517942,29.04909,29.761217,30.123283,21.891487,27.36665,25.04586,27.090809,28.173105,27.459217,26.298838,24.047577,27.914656,26.91532,26.87044,30.347841
17.822063,16.130297,11.058315,13.939983,14.457474,21.095118,21.919622,21.692778,16.659735,13.284626,13.310456,15.250798,18.69699,18.919977,18.755522,13.98392,11.4600935,15.31977,15.357129,16.955864,17.150017,17.076433,16.33399,13.449769,16.709265,12.786784,15.349338,15.449161,15.453407,12.668955,15.335223,13.375213,11.156103,15.331159,16.224976,16.191372,12.458953,11.582636,12.395144,11.845273,17.018456,16.427593,16.28135,15.255275,13.301934,10.634558,12.640926,14.362717,14.404808,14.336216,14.345786,11.757696,13.247774,14.167754,17.006897,17.089752,17.20322,16.053764,10.85146,16.964048,16.967377,17.832218,18.035482,17.92873,17.279497,14.511764,14.440015,12.593912,15.2566395,15.394709,15.350549,12.661065,10.953321,14.217419,15.963484,24.681334,20.7586,16.221415,16.0557,15.025868,16.063099,15.878484,17.325253
4.181685,4.1439195,4.168716,4.190998,4.1382594,4.110473,4.0955935,4.1594844,4.1106806,4.1279488,4.119805,4.105516,4.07551,4.2589793,4.238832,4.2668743,4.2258263,4.204361,4.2399807,4.182349,4.2424264,4.2441373,4.238683,4.20321,4.1731935,4.309425,4.1860356,4.2468925,4.2362146,4.251944,4.2329974,4.193142,4.179222,4.2317696,4.267981,4.2928863,4.2773604,4.2464566,4.198932,4.198863,4.23897,4.238688,4.2188516,4.1817784,4.167666,4.0745416,4.248736,4.1952286,4.1583786,4.162958,4.128152,4.129935,4.1392307,4.123179,4.0431876,4.133776,4.105302,4.069637,4.085911,4.0815015,4.078368,4.0838866,4.2438927,4.28905,4.2543874,4.213064,4.1956873,4.266972,4.2182255,4.2517858,4.2433376,4.2425857,4.2078547,4.152421,4.2403665,4.441912,21.208471,20.983662,6.253757,5.795311,4.635162,5.9601603,6.1030006
21.538458,17.452776,19.78003,18.892159,14.467361,15.636643,15.659947,19.107986,19.111057,17.259865,15.382165,18.143805,20.956467,21.178165,21.05778,17.830275,17.484331,17.484484,15.447795,19.822859,20.106506,20.113102,18.813091,14.841602,13.702825,16.374155,16.742746,21.547668,21.8061,18.038767,14.889091,15.444798,15.1130905,17.703114,19.307283,19.239159,18.244686,18.011778,16.347643,12.375725,15.41159,20.105558,20.087635,16.430973,17.728788,17.510643,14.715794,16.041073,23.990376,24.098286,17.876451,20.337147,16.173012,18.031574,19.095333,24.088644,18.361736,18.116184,17.561865,20.635387,16.770374,20.094772,20.264277,27.581476,18.327074,19.859154,16.026148,14.4069805,20.088238,20.166405,20.181517,18.242285,14.7718,17.028873,13.473638,17.809673,18.921537,23.6667,16.52269,15.127352,15.994468,16.715895,18.124737
23.847532,21.28208,22.342937,18.640318,20.38051,19.117245,23.20488,22.983519,22.97685,22.42861,18.59643,22.862228,25.952436,27.66138,27.288038,21.876888,16.403425,18.08481,18.207106,18.138376,17.244936,17.04606,17.331873,16.005981,16.119257,16.507267,19.293095,18.99699,18.870789,9.722243,6.5953493,6.588372,8.114821,18.155973,18.091452,18.128962,18.069538,17.09172,15.444602,17.994081,20.517546,20.429483,20.447987,18.746847,19.61739,19.379105,15.118568,25.352228,25.422253,25.565628,19.076412,19.540487,18.869688,22.83328,23.973768,28.33354,28.359015,26.7452,23.096981,23.085655,24.013828,26.514242,28.241194,27.753883,22.072096,20.215635,27.67272,24.21737,28.241875,27.56203,27.790247,18.936302,20.905727,21.491709,21.246157,25.993425,23.53533,23.54928,21.69653,21.261715,20.209219,20.562885,20.67474
34.410698,34.477753,37.8422,40.75833,30.48765,38.973835,40.130455,36.970547,44.12544,38.134754,30.311914,33.92149,42.909126,46.271065,47.637573,43.613235,39.909904,30.494408,40.235596,27.830004,33.005608,45.114132,38.926125,32.593204,25.40444,37.051422,37.050873,31.554623,42.098232,38.619526,37.453228,33.023632,36.616737,34.669292,38.662014,44.264378,39.515404,38.309284,27.49769,36.988228,30.130548,35.588665,41.795956,36.450996,37.700695,27.30565,35.078636,34.239613,28.980946,33.301662,42.120235,34.9483,35.294037,35.94066,37.436264,36.35472,31.756594,43.45123,37.930122,39.647984,38.053066,33.089916,39.312557,37.045048,42.453327,38.843464,30.36089,38.661366,40.635197,33.111137,35.230114,41.422302,39.430603,34.458244,36.81779,30.64212,36.168415,37.975792,35.727016,35.40589,33.069504,36.823868,38.512913
28.051096,28.03012,27.653734,28.012096,27.99861,28.012543,28.044483,28.034689,28.04499,27.605381,28.025635,28.004843,28.026375,28.103807,28.077784,27.612282,27.681932,28.012419,26.590137,28.052383,28.0793,28.880611,27.197815,28.017412,25.889935,27.925957,28.040585,28.097248,28.092964,27.676516,28.019367,27.99523,27.973473,28.02979,28.08751,28.074978,27.752613,28.01977,27.999218,27.651802,25.935137,25.852571,28.063646,28.0193,27.994944,27.982056,27.94583,28.000826,28.048304,28.039515,28.012941,27.958807,25.841408,27.980532,28.02786,28.039608,28.049627,28.019547,28.014015,28.008732,27.981813,28.048437,28.088089,28.068027,28.068727,28.039385,28.020191,27.98484,28.076126,28.065334,28.060362,28.01827,28.018364,26.299679,27.98548,28.02807,28.03249,28.049448,27.939148,27.958035,27.594057,27.908463,28.023056
