Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0005,0.738050,0.722726,6141.07
2,0.0005,0.637335,0.766392,6141.07
New Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.0005,0.697379,0.801888,3413.65
2,0.0005,0.591662,0.637002,3413.65
3,0.0005,0.526907,0.616455,3413.65
4,0.0005,0.517232,0.602189,3413.65
5,0.0005,0.527941,0.602204,3413.65
6,0.0005,0.510018,0.605734,3413.65
7,0.0005,0.500658,0.598997,3413.65
8,0.0005,0.495796,0.588714,3413.65
9,0.0005,0.487743,0.582631,3413.65
10,0.0005,0.479815,0.580339,3413.65
11,0.0005,0.478439,0.574731,3413.65
12,0.0005,0.475756,0.571369,3413.65
13,0.0005,0.470237,0.565965,3413.65
14,0.0005,0.467348,0.560282,3413.65
15,0.0005,0.464340,0.557212,3413.65
16,0.0005,0.460606,0.552726,3413.65
17,0.0005,0.455920,0.554090,3413.65
18,0.000475,nan,0.549563,3413.65
19,0.000475,nan,0.633228,3413.65
20,0.000475,nan,0.625062,3413.65
21,0.000475,nan,nan,3413.65
22,0.000475,nan,nan,3413.65
