Epoch,LR,TrainLoss,ValLoss,GPUMem(MB)
1,0.001,0.345937,0.480817,15404.51
2,0.001,0.294604,0.485829,15404.51
3,0.001,0.290229,0.416630,15404.51
4,0.001,0.282623,0.428840,15404.51
5,0.001,0.281893,0.419132,15404.51
6,0.001,0.279395,0.406833,15404.51
7,0.001,0.278301,0.409506,15404.51
8,0.001,0.275651,0.412351,15404.51
9,0.001,0.275941,0.403644,15404.51
10,0.001,0.278067,0.433159,15404.51
11,0.001,0.275725,0.447728,15404.51
12,0.001,0.273277,0.474506,15404.51
13,0.001,0.274252,0.457780,15404.51
14,0.001,0.272751,0.440638,15404.51
15,0.001,0.271917,0.455521,15404.51
16,0.001,0.270416,0.453195,15404.51
17,0.001,0.271098,0.474189,15404.51
18,0.00095,0.271107,0.469692,15404.51
19,0.00095,0.268715,0.455614,15404.51
